Role,Contractor_Hourly_Mid,Contractor_Annual,InHouse_Annual,Premium_Dollars,Premium_Percent
Behavior Tech,52.5,74812.5,56700.00000000001,18112.499999999993,31.944444444444425
School Psychologist,100.0,142500.0,121500.00000000001,20999.999999999985,17.283950617283935
SLP,87.5,124687.5,108000.0,16687.5,15.45138888888889
Paraprofessional,41.0,58425.0,51300.0,7125.0,13.88888888888889
PT/OT,85.0,121125.0,110700.00000000001,10424.999999999985,9.41734417344172
SPED Teacher,75.0,106875.0,101250.0,5625.0,5.555555555555555
RN,70.0,99750.0,97200.0,2550.0,2.6234567901234565
Social Worker,70.0,99750.0,97200.0,2550.0,2.6234567901234565
BCBA,100.0,142500.0,141750.0,750.0,0.5291005291005291
Counselor,70.0,99750.0,105300.0,-5550.0,-5.270655270655271
